id,assertion,counterexample,target_api,authoritative_observation,aggregation,evidence_path,close_condition
INV-02,One logical syncer owns scheduling for every fragment and permits at most one active update lease,Independent per-fragment workers claim two updates concurrently,SyncerReadinessMachine.claim_next,logical syncer identity active lease count and role map,every claim transition and formal role process,runtime_runs/S1-09/formal-l2/analysis/readiness-summary.json,one syncer role owns all fragments and active lease cardinality never exceeds one
SYNC-01,A single readiness machine polls and schedules all frozen fragments,A separate scheduler instance is required for each fragment,SyncerReadinessMachine.poll_store and claim_next,one machine fragment inventory fixed-slot reads and service trace,all formal polls and claims,runtime_runs/S1-09/formal-l2/analysis/readiness-summary.json,one logical syncer observes all F fragments and issues the complete claim sequence
SYNC-02,Version authority frontier grace and readiness phase are independent per fragment,A shared version or grace deadline advances unrelated fragments,FragmentReadinessAuthority and SyncerReadinessMachine,per-fragment version frontier phase deadline generation and selection identity,every mixed-version transition plus restart fixture,runtime_runs/S1-09/formal-l2/stdout/pytest.log,changing one fragment authority or grace state leaves every unrelated fragment state unchanged
SYNC-03,Readiness follows eligible distinct and fresh proposal counts plus grace and scheduling rather than poll iterations,A below-quorum fragment becomes ready after enough empty CPU polls,SyncerReadinessMachine.observe,per-poll eligible distinct fresh phase and transition counters,below-quorum repeated polls through times beyond a nominal update interval,runtime_runs/S1-09/formal-l2/stdout/pytest.log,no below-quorum observation freezes or claims regardless of poll count
SYNC-04,The machine supports Profile A Q equals M grace zero and decoupled Q below M with a fixed finite grace that freezes all then-eligible selected learners,Grace zero delays Profile A or a proposal observed during grace is omitted,ReadinessConfig and SyncerReadinessMachine.observe,grace start deadline freeze observation selected learner set and Profile A selection,Profile A all fragments plus a nonzero-grace cross-node case,runtime_runs/S1-09/formal-l2/analysis/readiness-summary.json,Profile A freezes all M immediately and the nonzero-grace case includes pre-freeze arrivals while excluding post-freeze arrivals
SYNC-05,Round-robin scheduling gives every continuously frozen fragment a claim within at most F successful claim decisions,A continuously rearmed fragment zero prevents fragment one from ever being claimed,SyncerReadinessMachine.claim_next,claim ordinal cursor and per-fragment service gap,all starting cursors and at least eight times F adversarial claims,runtime_runs/S1-09/formal-l2/stdout/pytest.log,the maximum continuously-ready service window is at most F claims with deterministic cyclic order
SYNC-09,A frozen selection and its normalized weights are immutable across input order later arrivals time advances and repeated polls,Directory order or a post-freeze higher sequence changes an active update,SyncerReadinessMachine.observe and FrozenSelection,selection identity ordered proposal content identities and exact CandidateWeight tuples,all proposal permutations plus pre-freeze and post-freeze observations,runtime_runs/S1-09/formal-l2/analysis/readiness-summary.json,equivalent candidate sets produce one selection identity and a frozen or active selection never changes
STALE-09,With the frozen S_max zero policy quorum counts eligible distinct learners and every eligible learner is necessarily fresh,A duplicate learner inflates either counter or a noncurrent-base proposal remains eligible under S_max zero,SyncerReadinessMachine.observe,eligible distinct count fresh distinct count duplicate count and rejection reasons,all valid Q_fresh values duplicate learner wrong-base and consumed fixtures,runtime_runs/S1-09/formal-l2/stdout/pytest.log,eligible distinct always equals fresh distinct and freeze requires distinct eligible at least Q while stale-inclusive independent Q versus Q_fresh binding remains S0A-01 and S4-03
A-PROP-02,Each frozen update contains at most one proposal from each learner,Two proposals from one learner both enter one frozen selection,FrozenSelection.proposals,selected count and distinct learner count,every permutation duplicate and formal Profile A selection,runtime_runs/S1-09/formal-l2/analysis/readiness-summary.json,every frozen selection has equal proposal and distinct learner cardinalities
A-PROP-03,Authoritative consumed frontiers make repeated fixed-slot polling ineligible without growing history,The same proposal is frozen again after successful consumption,SyncerReadinessMachine.install_authority and observe,repeated selected count frontier cardinality and consumed rejection count,all M learners on every formal Profile A fragment,runtime_runs/S1-09/formal-l2/analysis/readiness-summary.json,after installing advanced fixed frontiers repeated polling freezes nothing and resident frontier cardinality remains M while S1-11 retains primary atomic closure
