stage,acceptance_id,primary_loop,supporting_loops,required_evidence,status,evidence_path,checker_verdict,notes
0-A,A-SIM-01,S0A-01,,共享decision vectors全部通过,passed,evidence/indexes/S0A-01.md,PASS,7/7 shared vectors plus deterministic event and bounded-state evidence
0-A,A-SIM-02,S0A-02,,完整SIM-03矩阵与原始manifest,passed,evidence/indexes/S0A-02.md,PASS,7776 rows with verified partial-run resume and three seeds
0-A,A-SIM-03,S0A-02,,默认profile与stale挽回预测,passed,evidence/indexes/S0A-02.md,PASS,Stage1/4 profiles and Stage5 delay points frozen; Stage4 remains mandatory
0-B,A-BENCH-01,S0B-02,S0B-01,跨节点visibility p50/p99，满足阈值,passed,evidence/indexes/S0B-02.md,PASS,primary and independent repeat empty/loaded p99 under 8ms versus 2.5s
0-B,A-BENCH-02,S0B-02,S0B-01,≥10^5原子替换，0 violation,passed,evidence/indexes/S0B-02.md,PASS,100000 replacements at each of 256 and 4096 bytes with four readers and zero violations in two full runs
0-B,A-BENCH-03,S0B-03,S0B-01,metadata throughput ≥10× steady demand,passed,evidence/indexes/S0B-03.md,PASS,worse corrected synchronized run 39403.448/s versus 5120/s gate
0-B,A-BENCH-04,S0B-03,S0B-01,M并发fragment一轮≤10%H,passed,evidence/indexes/S0B-03.md,PASS,worst corrected 16-stream write round 0.323808s versus 5s gate
0-C,A-ALG-00,S0C-02,S0C-01,错误stale公式被拒绝；全部golden通过,passed,evidence/indexes/S0C-02.md,PASS,S0C-01 and S0C-02 oracle evidence complete
1,A-FRAG-01,S1-02,S1-01,parameter identity全覆盖恰好一次,passed,evidence/indexes/S1-02.md,PASS,148 real identities plus synthetic cases partition exactly once
1,A-FRAG-02,S1-02,,连续非空fragments,passed,evidence/indexes/S1-02.md,PASS,validated ordered nonempty intervals cover every logical layer
1,A-FRAG-03,S1-02,,小模型exhaustive+大模型摘要,passed,evidence/indexes/S1-02.md,PASS,212750 exhaustive and 500 random brute-force matches plus Pythia summary
1,A-PROP-01,S1-05,S1-03,部分proposal不可见,passed,evidence/indexes/S1-05.md,PASS,remote payload-only proposal invisible and complete retry visible with identity and integrity checks
1,A-PROP-02,S1-05,S1-09,同learner一次最多一个contribution,passed,evidence/indexes/S1-05.md; evidence/indexes/S1-09.md,PASS,all four S1-09 formal fragments freeze exactly eight distinct learners with one proposal and one analyzer-bound weight per learner
1,A-PROP-03,S1-11,S1-05;S1-09,重复polling不重复消费,passed,evidence/indexes/S1-05.md; evidence/indexes/S1-09.md; evidence/indexes/S1-11.md,PASS_WITH_FOLLOWUPS,All pre-replace failures retain selected proposal eligibility while visible success advances fixed frontiers and exact retry never increments version or consumption twice
1,A-GLOBAL-01,S1-11,S1-03,params/outer/frontier共同可见,passed,evidence/indexes/S1-03.md; evidence/indexes/S1-11.md,PASS_WITH_FOLLOWUPS,Four-boundary replay and 3141 concurrent observations expose only complete old or new compound parameter outer frontier and policy authorities
1,A-GLOBAL-02,S1-11,S1-04,per-fragment version单调+1,passed,evidence/indexes/S1-04.md; evidence/indexes/S1-11.md,PASS_WITH_FOLLOWUPS,Both formal fragments advance contiguously from zero through twenty and skip rollback same-version conflict and duplicate retry fail closed
